MJD R_cm_16 eR_cm_16 B_Gauss eB_Gauss E_erg_48 eE_erg_48
58625 1.79 0.08 0.84 0.05 0.67 0.12
58653 2.96 0.07 0.62 0.02 1.64 0.15
58703 4.82 0.12 0.46 0.01 3.89 0.37
58761 8.20 0.22 0.27 0.01 6.85 0.65
