|    time |    F_p |  eF_p |   nu_p | enu_p |   R_SJ | R_sphere | R_cone | eR_SJ | eR_sphere | eR_cone |   E_SJ | E_sphere | E_cone | eE_SJ | eE_sphere | eE_cone |   B_SJ | B_sphere | B_cone | eB_SJ | eB_sphere | eB_cone | n_electr_cone | n_electr_sphere | en_electr_cone | en_electr_sphere |  v_SJ | v_sphere | v_cone | ev_SJ | ev_sphere | ev_cone |
|  42.160 | -0.400 | 0.046 | 10.158 | 0.031 | 16.084 |   15.809 | 16.179 | 0.027 |     0.027 |   0.027 | 47.479 |   48.803 | 49.320 | 0.097 |     0.120 |   0.130 | -0.002 |   -0.425 | -0.690 | 0.036 |     0.045 |   0.048 |         4.322 |           4.853 |          0.140 |            0.134 | 0.103 |    0.050 |  0.119 | 0.017 |     0.009 |   0.021 |
|  70.160 | -0.147 | 0.018 | 10.076 | 0.016 | 16.287 |   15.999 | 16.368 | 0.019 |     0.018 |   0.019 | 47.868 |   49.173 | 49.692 | 0.085 |     0.111 |   0.120 | -0.101 |   -0.516 | -0.781 | 0.028 |     0.037 |   0.040 |         4.145 |           4.675 |          0.126 |            0.119 | 0.100 |    0.050 |  0.116 | 0.013 |     0.006 |   0.015 |
| 120.160 |  0.079 | 0.014 |  9.972 | 0.013 | 16.500 |   16.205 | 16.576 | 0.019 |     0.019 |   0.019 | 48.260 |   49.549 | 50.068 | 0.092 |     0.114 |   0.123 | -0.235 |   -0.647 | -0.913 | 0.026 |     0.036 |   0.040 |         3.891 |           4.420 |          0.124 |            0.117 | 0.166 |    0.085 |  0.198 | 0.018 |     0.009 |   0.022 |
| 178.160 |  0.096 | 0.013 |  9.733 | 0.008 | 16.748 |   16.453 | 16.823 | 0.018 |     0.018 |   0.018 | 48.510 |   49.794 | 50.311 | 0.097 |     0.121 |   0.131 | -0.479 |   -0.894 | -1.160 | 0.028 |     0.039 |   0.043 |         3.387 |           3.917 |          0.133 |            0.126 | 0.000 |    0.000 |  0.000 | 0.000 |     0.000 |   0.000 |
