|    time |    F_p |  eF_p |   nu_p | enu_p |   R_SJ | R_sphere | R_cone | eR_SJ | eR_sphere | eR_cone |   E_SJ | E_sphere | E_cone | eE_SJ | eE_sphere | eE_cone |   B_SJ | B_sphere | B_cone | eB_SJ | eB_sphere | eB_cone | n_electr_cone | en_electr_cone |  v_SJ | v_sphere | v_cone | ev_SJ | ev_sphere | ev_cone |
|  42.160 | -0.389 | 0.041 | 10.161 | 0.030 | 16.089 |   15.915 | 16.285 | 0.028 |     0.026 |   0.026 | 47.499 |   47.447 | 47.966 | 0.096 |     0.124 |   0.133 |  0.004 |    0.007 | -0.258 | 0.037 |     0.048 |   0.051 |         3.498 |          0.144 | 0.104 |    0.066 |  0.154 | 0.018 |     0.011 |   0.027 |
|  70.160 | -0.158 | 0.022 | 10.075 | 0.017 | 16.287 |   16.106 | 16.476 | 0.022 |     0.020 |   0.021 | 47.878 |   47.813 | 48.332 | 0.099 |     0.130 |   0.140 | -0.102 |   -0.093 | -0.358 | 0.032 |     0.045 |   0.049 |         3.310 |          0.144 | 0.105 |    0.066 |  0.156 | 0.015 |     0.009 |   0.022 |
| 120.160 |  0.085 | 0.016 |  9.969 | 0.014 | 16.508 |   16.319 | 16.690 | 0.020 |     0.019 |   0.020 | 48.289 |   48.191 | 48.712 | 0.092 |     0.119 |   0.128 | -0.232 |   -0.220 | -0.485 | 0.028 |     0.041 |   0.044 |         3.058 |          0.131 | 0.171 |    0.111 |  0.261 | 0.017 |     0.011 |   0.027 |
| 178.160 |  0.099 | 0.014 |  9.730 | 0.009 | 16.752 |   16.564 | 16.935 | 0.015 |     0.015 |   0.015 | 48.533 |   48.445 | 48.966 | 0.081 |     0.105 |   0.113 | -0.473 |   -0.461 | -0.725 | 0.025 |     0.036 |   0.039 |         2.570 |          0.116 | 0.000 |    0.000 |  0.000 | 0.000 |     0.000 |   0.000 |
