|    time |    F_p |  eF_p |   nu_p | enu_p |   R_SJ | R_sphere | R_cone | eR_SJ | eR_sphere | eR_cone |   E_SJ | E_sphere | E_cone | eE_SJ | eE_sphere | eE_cone |   B_SJ | B_sphere | B_cone | eB_SJ | eB_sphere | eB_cone | n_electr_cone | n_electr_sphere | en_electr_cone | en_electr_sphere |  v_SJ | v_sphere | v_cone | ev_SJ | ev_sphere | ev_cone |
|  42.160 | -0.396 | 0.046 | 10.159 | 0.036 | 16.092 |   15.813 | 16.183 | 0.030 |     0.028 |   0.028 | 47.491 |   48.829 | 49.347 | 0.081 |     0.100 |   0.108 |  0.007 |   -0.411 | -0.676 | 0.039 |     0.044 |   0.046 |         4.356 |           4.885 |          0.124 |            0.119 | 0.102 |    0.050 |  0.118 | 0.018 |     0.009 |   0.021 |
|  70.160 | -0.152 | 0.024 | 10.074 | 0.018 | 16.285 |   15.998 | 16.368 | 0.020 |     0.018 |   0.019 | 47.861 |   49.170 | 49.689 | 0.081 |     0.104 |   0.113 | -0.106 |   -0.525 | -0.790 | 0.027 |     0.036 |   0.039 |         4.134 |           4.663 |          0.119 |            0.113 | 0.099 |    0.049 |  0.114 | 0.011 |     0.005 |   0.013 |
| 120.160 |  0.077 | 0.014 |  9.971 | 0.012 | 16.497 |   16.203 | 16.573 | 0.015 |     0.014 |   0.015 | 48.245 |   49.538 | 50.055 | 0.080 |     0.100 |   0.109 | -0.233 |   -0.645 | -0.910 | 0.027 |     0.037 |   0.040 |         3.888 |           4.418 |          0.120 |            0.114 | 0.169 |    0.086 |  0.202 | 0.016 |     0.008 |   0.020 |
| 178.160 |  0.095 | 0.012 |  9.731 | 0.009 | 16.747 |   16.454 | 16.824 | 0.016 |     0.016 |   0.016 | 48.505 |   49.800 | 50.317 | 0.086 |     0.106 |   0.114 | -0.477 |   -0.891 | -1.156 | 0.025 |     0.034 |   0.037 |         3.399 |           3.929 |          0.115 |            0.109 | 0.000 |    0.000 |  0.000 | 0.000 |     0.000 |   0.000 |
