|    time |    F_p |  eF_p |   nu_p | enu_p |   R_SJ | R_sphere | R_cone | eR_SJ | eR_sphere | eR_cone |   E_SJ | E_sphere | E_cone | eE_SJ | eE_sphere | eE_cone |   B_SJ | B_sphere | B_cone | eB_SJ | eB_sphere | eB_cone |  v_SJ | v_sphere | v_cone | ev_SJ | ev_sphere | ev_cone |
|  42.160 | -0.402 | 0.050 | 10.162 | 0.032 | 16.084 |   15.932 | 16.302 | 0.028 |     0.026 |   0.027 | 47.484 |   47.611 | 48.128 | 0.093 |     0.117 |   0.126 |  0.009 |    0.075 | -0.191 | 0.039 |     0.048 |   0.051 | 0.102 |    0.067 |  0.156 | 0.017 |     0.010 |   0.025 |
|  70.160 | -0.150 | 0.026 | 10.079 | 0.018 | 16.283 |   16.119 | 16.490 | 0.020 |     0.017 |   0.018 | 47.865 |   47.966 | 48.484 | 0.081 |     0.104 |   0.112 | -0.101 |   -0.027 | -0.291 | 0.028 |     0.037 |   0.040 | 0.101 |    0.067 |  0.158 | 0.013 |     0.008 |   0.020 |
| 120.160 |  0.075 | 0.016 |  9.969 | 0.013 | 16.502 |   16.330 | 16.700 | 0.019 |     0.019 |   0.019 | 48.256 |   48.344 | 48.864 | 0.088 |     0.113 |   0.122 | -0.237 |   -0.164 | -0.428 | 0.025 |     0.036 |   0.039 | 0.171 |    0.115 |  0.269 | 0.018 |     0.012 |   0.030 |
| 178.160 |  0.096 | 0.014 |  9.731 | 0.009 | 16.747 |   16.576 | 16.947 | 0.018 |     0.017 |   0.018 | 48.517 |   48.600 | 49.118 | 0.094 |     0.120 |   0.130 | -0.474 |   -0.398 | -0.663 | 0.028 |     0.040 |   0.043 | 0.000 |    0.000 |  0.000 | 0.000 |     0.000 |   0.000 |
