#BranStark
#Time, luminosity, temperature, and frequency, measured in TDE restframe and corrected for Galactic extinction
#The flux (in Jy) is not corrected for Galactic extiction
#nu_kc=6.289e+14 Hz, t_peak=58603.87 MJD
#day_since_peak	band 	flux_Jy     	nu_rest     	lum         	err_lum     	lum_kc      	lum_bb      	T_bb        
4.729374e+01	UVM2 	2.571173e-04	1.415424e+15	4.365266e+43	2.814391e+42	8.277271e+42	9.633205e+43	3.071212e+04
4.764002e+01	UVM2 	2.042356e-04	1.415424e+15	3.467454e+43	1.596821e+42	6.576784e+42	7.648232e+43	3.070234e+04
6.782159e+01	UVM2 	1.535081e-04	1.415424e+15	2.606218e+43	1.920332e+42	4.999988e+42	5.642424e+43	3.032424e+04
6.857998e+01	UVM2 	1.795276e-04	1.415424e+15	3.047970e+43	1.965099e+42	5.843536e+42	6.605990e+43	3.034633e+04
7.274163e+01	UVM2 	1.324742e-04	1.415424e+15	2.249110e+43	1.242904e+42	4.297813e+42	4.900605e+43	3.045438e+04
8.536476e+01	UVM2 	1.242028e-04	1.415424e+15	2.108680e+43	1.747949e+42	3.991595e+42	4.666630e+43	3.076961e+04
8.707127e+01	UVM2 	1.004920e-04	1.415424e+15	1.706124e+43	2.199958e+42	3.227417e+42	3.779983e+43	3.079229e+04
9.080359e+01	UVM2 	9.865778e-05	1.415424e+15	1.674984e+43	1.696989e+42	3.160783e+42	3.726211e+43	3.087514e+04
9.479187e+01	UVM2 	1.023603e-04	1.415424e+15	1.737844e+43	1.600613e+42	3.279974e+42	3.864916e+43	3.086920e+04
9.851443e+01	UVM2 	9.335366e-05	1.415424e+15	1.584932e+43	1.751732e+42	3.004114e+42	3.499890e+43	3.072535e+04
1.036288e+02	UVM2 	7.213256e-05	1.415424e+15	1.224646e+43	1.353529e+42	2.318072e+42	2.710415e+43	3.077112e+04
1.495473e+02	UVM2 	5.371942e-05	1.415424e+15	9.120333e+42	1.260021e+42	1.846554e+42	1.821554e+43	2.867293e+04
1.547988e+02	UVM2 	3.891628e-05	1.415424e+15	6.607097e+42	6.693897e+41	1.301643e+42	1.372706e+43	2.948458e+04
1.594150e+02	UVM2 	4.551257e-05	1.415424e+15	7.726996e+42	9.251874e+41	1.490463e+42	1.658477e+43	3.014844e+04
1.640211e+02	UVM2 	4.306568e-05	1.415424e+15	7.311571e+42	1.212157e+42	1.374085e+42	1.637871e+43	3.101545e+04
1.737353e+02	UVM2 	4.722058e-05	1.415424e+15	8.016978e+42	1.476782e+42	1.432304e+42	1.969417e+43	3.287450e+04
1.793615e+02	UVM2 	4.112741e-05	1.415424e+15	6.982496e+42	1.221912e+42	1.214038e+42	1.812323e+43	3.398184e+04
2.031174e+02	UVM2 	3.891628e-05	1.415424e+15	6.607097e+42	9.128042e+41	1.223211e+42	1.519085e+43	3.154104e+04
