# date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Aug 26",2458721.8097,"r", 99.0, 99.0,99.0, 17.63,"P48+ZTF","1","None","None",True,True
"2019 Aug 30",2458725.8178,"g", -17.16, 19.58,0.13, 20.76,"P48+ZTF","1","None","None",True,True
"2019 Sep 03",2458729.7769,"UVW2", -17.62, 19.12,0.10, 21.41,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Sep 05",2458732.4339,"UVW2", -17.89, 18.85,0.12, 20.96,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Sep 06",2458732.7335,"r", 99.0, 99.0,99.0, 20.49,"P48+ZTF","1","None","None",True,True
"2019 Sep 06",2458732.8037,"g", -17.12, 19.63,0.16, 20.42,"P48+ZTF","1","None","None",True,True
"2019 Sep 06",2458732.8189,"i", 99.0, 99.0,99.0, 19.59,"P48+ZTF","2","None","None",True,True
"2019 Sep 07",2458733.9409,"UVW2", -17.61, 19.13,0.15, 20.76,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Sep 10",2458736.8177,"i", 99.0, 99.0,99.0, 19.09,"P48+ZTF","2","None","None",True,True
"2019 Sep 10",2458736.8728,"r", 99.0, 99.0,99.0, 19.48,"P48+ZTF","1","None","None",True,True
"2019 Sep 12",2458739.4489,"g", -17.15, 19.59,0.09, 20.75,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 12",2458739.4504,"r", -16.97, 19.77,0.09, 20.80,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 12",2458739.4517,"i", -17.25, 19.50,0.05, 21.25,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 17",2458743.5311,"g", -17.44, 19.30,0.13, 19.64,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 17",2458743.5325,"r", -17.61, 19.13,0.12, 19.93,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 17",2458743.5339,"i", -17.86, 18.88,0.20, 18.77,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 Sep 18",2458744.8404,"i", 99.0, 99.0,99.0, 19.35,"P48+ZTF","2","None","None",True,True
"2019 Sep 18",2458744.8643,"r", 99.0, 99.0,99.0, 19.77,"P48+ZTF","1","None","None",True,True
"2019 Sep 21",2458747.7777,"g", -16.88, 19.86,0.18, 20.46,"P48+ZTF","1","None","None",True,True
"2019 Sep 22",2458748.7827,"i", 99.0, 99.0,99.0, 19.09,"P48+ZTF","2","None","None",True,True
"2019 Sep 24",2458750.7087,"g", -16.81, 19.94,0.28, 19.91,"P48+ZTF","1","None","None",True,True
"2019 Sep 24",2458750.7793,"r", 99.0, 99.0,99.0, 20.15,"P48+ZTF","1","None","None",True,True
"2019 Sep 28",2458754.7079,"r", -17.20, 19.54,0.14, 20.62,"P48+ZTF","1","None","None",True,True
"2019 Sep 28",2458754.7559,"g", -16.83, 19.91,0.17, 20.64,"P48+ZTF","1","None","None",True,True
"2019 Oct 01",2458757.6740,"g", -16.87, 19.88,0.17, 20.70,"P48+ZTF","2","None","None",True,True
"2019 Oct 01",2458757.6905,"g", -16.75, 19.99,0.19, 20.79,"P48+ZTF","1","None","None",True,True
"2019 Oct 01",2458757.7814,"r", -17.20, 19.54,0.18, 20.19,"P48+ZTF","1","None","None",True,True
"2019 Oct 02",2458758.6477,"r", -17.28, 19.46,0.07, 21.23,"P48+ZTF","2","None","None",True,True
"2019 Oct 02",2458758.6885,"g", -16.95, 19.79,0.05, 21.61,"P48+ZTF","2","None","None",True,True
"2019 Oct 02",2458758.7617,"i", 99.0, 99.0,99.0, 19.78,"P48+ZTF","2","None","None",True,True
"2019 Oct 03",2458759.6902,"g", -16.98, 19.76,0.06, 21.64,"P48+ZTF","2","None","None",True,True
"2019 Oct 05",2458761.5659,"UVW2", -17.38, 19.36,0.12, 21.20,"Swift+UVOT","48","Suvi Gezari","None",False,True
"2019 Oct 05",2458761.5700,"UVW2", -17.35, 19.39,0.13, 22.25,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 10",2458766.5500,"UVW2", -17.31, 19.43,0.19, 21.85,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 10",2458766.8900,"UVW2", -17.19, 19.55,0.17, 22.05,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 10",2458767.4200,"UVW2", -17.46, 19.28,0.13, 22.24,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 10",2458767.4900,"UVW2", -17.58, 19.16,0.14, 22.09,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 15",2458771.9400,"UVW2", -17.38, 19.36,0.10, 22.60,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 20",2458776.7800,"UVW2", -17.41, 19.33,0.13, 22.32,"Swift+UVOT","None","sjoert","None",False,True
"2019 Oct 30",2458786.9900,"UVW2", -17.39, 19.35,0.17, 21.87,"Swift+UVOT","None","sjoert","None",False,True
"2019 Nov 05",2458792.9100,"UVW2", -16.95, 19.79,0.19, 22.09,"Swift+UVOT","48","sjoert","None",False,True
