MJD R_cm_16 eR_cm_16 B_Gauss eB_Gauss E_erg_48 eE_erg_48
58625 1.62 0.08 1.06 0.07 0.81 0.17
58653 2.50 0.08 0.85 0.04 1.88 0.24
58703 4.01 0.12 0.63 0.02 4.31 0.49
58761 6.62 0.20 0.38 0.01 7.00 0.74
