|    time |    F_p |  eF_p |   nu_p | enu_p |   R_SJ | R_sphere | R_cone | eR_SJ | eR_sphere | eR_cone |   E_SJ | E_sphere | E_cone | eE_SJ | eE_sphere | eE_cone |   B_SJ | B_sphere | B_cone | eB_SJ | eB_sphere | eB_cone | n_electr_cone | en_electr_cone |  v_SJ | v_sphere | v_cone | ev_SJ | ev_sphere | ev_cone |
|  42.160 | -0.390 | 0.044 | 10.156 | 0.032 | 16.091 |   15.976 | 16.346 | 0.026 |     0.026 |   0.027 | 47.498 |   48.049 | 48.567 | 0.088 |     0.110 |   0.119 |  0.000 |    0.225 | -0.040 | 0.037 |     0.045 |   0.047 |         3.069 |          0.133 | 0.102 |    0.073 |  0.172 | 0.017 |     0.012 |   0.029 |
|  70.160 | -0.157 | 0.022 | 10.074 | 0.019 | 16.287 |   16.161 | 16.531 | 0.021 |     0.019 |   0.019 | 47.878 |   48.420 | 48.941 | 0.079 |     0.098 |   0.107 | -0.102 |    0.128 | -0.136 | 0.028 |     0.036 |   0.038 |         2.901 |          0.114 | 0.104 |    0.074 |  0.172 | 0.014 |     0.010 |   0.023 |
| 120.160 |  0.083 | 0.015 |  9.968 | 0.013 | 16.508 |   16.374 | 16.744 | 0.019 |     0.018 |   0.019 | 48.276 |   48.795 | 49.315 | 0.091 |     0.112 |   0.121 | -0.234 |   -0.002 | -0.265 | 0.028 |     0.038 |   0.041 |         2.641 |          0.126 | 0.170 |    0.125 |  0.292 | 0.019 |     0.013 |   0.033 |
| 178.160 |  0.099 | 0.016 |  9.731 | 0.010 | 16.751 |   16.618 | 16.988 | 0.018 |     0.017 |   0.018 | 48.533 |   49.052 | 49.573 | 0.092 |     0.111 |   0.120 | -0.472 |   -0.239 | -0.503 | 0.026 |     0.036 |   0.039 |         2.166 |          0.119 | 0.000 |    0.000 |  0.000 | 0.000 |     0.000 |   0.000 |
